#Sensor_Caliente,Sensor_Frio
33.88,32.63
33.88,32.63
33.88,32.69
33.81,32.63
33.81,32.63
33.81,32.63
33.81,32.63
33.81,32.63
33.81,32.63
33.81,32.63
33.75,32.63
33.75,32.56
33.75,32.63
33.75,32.63
33.75,32.63
33.69,32.56
33.69,32.63
33.69,32.63
33.63,32.63
33.69,32.63
33.69,32.63
33.63,32.63
33.63,32.56
33.63,32.56
33.63,32.56
33.63,32.63
33.63,32.63
33.56,32.56
33.63,32.63
33.56,32.63
33.56,32.63
33.56,32.63
33.56,32.63
33.5,32.56
33.5,32.63
33.5,32.56
33.5,32.56
33.44,32.63
33.44,32.63
33.44,32.63
33.44,32.56
33.44,32.63
33.44,32.63
33.44,32.56
33.38,32.56
33.38,32.56
33.38,32.56
33.38,32.56
33.38,32.63
33.31,32.63
33.38,32.56
33.31,32.56
33.31,32.56
33.31,32.56
33.31,32.56
33.31,32.56
33.31,32.56
33.25,32.56
33.25,32.56
33.25,32.56
33.19,32.56
33.25,32.56
33.25,32.56
33.19,32.63
33.25,32.5
33.19,32.56
33.19,32.56
33.19,32.56
33.19,32.56
33.19,32.56
33.19,32.56
33.13,32.56
33.19,32.5
33.19,32.56
33.13,32.5
33.13,32.5
33.13,32.5
33.13,32.5
33.06,32.5
33.13,32.5
33.13,32.5
33.06,32.5
33.06,32.5
33.06,32.56
33.06,32.5
33.0,32.5
33.0,32.5
33.06,32.5
33.0,32.5
33.0,32.5
33.0,32.56
33.0,32.5
33.0,32.5
33.0,32.5
32.94,32.5
32.94,32.5
33.0,32.5
32.94,32.5
32.94,32.44
32.94,32.5
32.94,32.5
32.88,32.5
32.94,32.44
32.88,32.44
32.94,32.44
32.88,32.44
32.88,32.44
32.88,32.44
32.88,32.44
32.88,32.44
32.81,32.44
32.81,32.44
32.81,32.44
32.81,32.44
32.81,32.44
32.81,32.44
32.81,32.38
32.81,32.38
32.81,32.38
32.81,32.44
32.81,32.38
32.75,32.38
32.75,32.38
32.75,32.38
32.75,32.38
32.69,32.38
