#Sensor_Caliente,Sensor_Frio
45.56,21.62
45.56,21.62
45.56,21.69
45.5,21.75
45.5,21.75
45.44,21.81
45.38,21.81
45.25,21.87
45.19,21.94
45.13,22.0
45.06,22.06
45.0,22.06
44.88,22.12
44.81,22.19
44.81,22.25
44.63,22.25
44.63,22.31
44.5,22.37
44.44,22.37
44.38,22.44
44.25,22.5
44.19,22.56
44.13,22.56
44.0,22.69
43.94,22.69
43.88,22.75
43.75,22.75
43.69,22.75
43.63,22.81
43.5,22.94
43.44,22.94
43.38,23.0
43.31,23.0
43.19,23.0
43.13,23.06
43.06,23.12
43.0,23.19
42.94,23.19
42.81,23.25
42.75,23.25
42.69,23.37
42.56,23.37
42.56,23.44
42.44,23.44
42.38,23.44
42.31,23.5
42.25,23.56
42.19,23.56
42.06,23.62
42.06,23.69
41.94,23.69
41.88,23.75
41.81,23.75
41.75,23.81
41.69,23.81
41.63,23.87
41.56,23.87
41.5,23.94
41.44,24.0
41.38,24.0
41.31,24.06
41.25,24.06
41.13,24.12
41.13,24.12
41.06,24.19
41.0,24.25
40.94,24.25
40.94,24.31
40.81,24.31
40.75,24.31
40.69,24.31
40.63,24.37
40.63,24.44
40.5,24.44
40.44,24.44
40.44,24.44
40.38,24.5
40.31,24.56
40.19,24.62
40.19,24.62
40.13,24.62
40.06,24.69
40.0,24.69
39.94,24.69
39.94,24.75
39.88,24.75
39.81,24.75
39.75,24.75
39.69,24.81
39.63,24.81
39.56,24.87
39.56,24.94
39.5,24.94
39.44,25.0
39.38,25.0
39.31,25.0
39.31,25.0
39.25,25.06
39.19,25.06
39.13,25.06
39.13,25.19
39.13,25.12
39.0,25.19
38.94,25.19
38.94,25.19
38.88,25.25
38.88,25.25
38.75,25.25
38.75,25.25
38.69,25.31
38.63,25.31
38.63,25.37
38.63,25.37
38.56,25.37
38.5,25.37
38.44,25.44
38.38,25.44
38.44,25.44
38.31,25.5
38.25,25.5
38.25,25.5
38.19,25.56
38.19,25.62
38.13,25.62
38.06,25.62
38.06,25.56
38.0,25.62
37.94,25.69
37.94,25.69
37.94,25.69
37.88,25.69
37.88,25.75
37.81,25.75
37.75,25.81
37.69,25.75
37.69,25.81
37.69,25.81
37.63,25.81
37.56,25.87
37.5,25.87
37.56,25.87
37.5,25.87
37.44,25.94
37.38,25.94
37.38,25.94
37.31,25.94
37.25,26.0
37.25,26.0
37.25,26.0
37.19,26.0
37.13,26.0
37.13,26.0
37.13,26.0
37.06,26.06
37.06,26.06
37.0,26.12
36.94,26.12
36.94,26.19
36.88,26.19
36.88,26.19
36.88,26.19
36.81,26.19
36.81,26.19
36.75,26.19
36.75,26.25
36.69,26.25
36.69,26.25
36.63,26.31
36.63,26.31
36.63,26.31
36.56,26.31
36.56,26.31
36.5,26.37
36.5,26.37
36.44,26.37
36.44,26.37
36.44,26.44
36.38,26.44
36.38,26.44
36.31,26.44
36.25,26.44
36.31,26.44
36.25,26.44
36.25,26.44
36.19,26.5
36.19,26.5
36.19,26.56
36.13,26.56
36.13,26.56
36.13,26.56
36.06,26.56
36.06,26.56
36.0,26.56
36.0,26.62
36.0,26.62
35.94,26.62
35.94,26.62
35.88,26.69
35.88,26.69
35.88,26.69
35.81,26.69
35.81,26.69
35.75,26.75
35.75,26.69
35.75,26.69
35.69,26.75
35.69,26.75
35.63,26.75
35.63,26.75
35.56,26.75
35.56,26.75
35.5,26.75
35.44,26.81
35.44,26.75
35.38,26.81
35.38,26.81
35.38,26.81
35.31,26.81
35.25,26.81
35.25,26.87
35.25,26.87
35.25,26.94
35.19,26.87
35.13,26.87
35.13,26.87
35.13,26.87
35.13,26.87
35.06,26.94
35.06,26.94
35.06,26.94
35.06,26.94
35.0,26.94
35.0,26.94
34.94,26.94
34.94,27.0
34.94,27.0
34.94,27.0
34.94,27.0
34.94,27.0
34.88,27.0
34.88,27.06
34.88,27.0
34.81,27.06
34.81,27.06
34.81,27.06
34.81,27.06
34.75,27.06
34.75,27.06
34.69,27.06
34.69,27.12
34.69,27.12
34.69,27.12
34.69,27.12
34.69,27.06
34.63,27.12
34.63,27.12
34.63,27.12
34.56,27.12
34.63,27.19
34.56,27.19
34.56,27.12
34.5,27.19
34.5,27.19
34.44,27.19
34.5,27.19
34.44,27.19
34.44,27.25
34.44,27.19
34.38,27.25
34.38,27.25
34.38,27.25
34.38,27.25
34.31,27.25
34.31,27.25
34.31,27.25
34.25,27.25
34.25,27.25
34.25,27.25
34.25,27.31
34.25,27.25
34.25,27.25
34.19,27.31
34.19,27.31
34.19,27.31
34.19,27.31
34.13,27.31
34.13,27.37
34.13,27.31
34.13,27.37
34.06,27.31
34.06,27.37
34.13,27.37
34.06,27.37
34.06,27.37
34.06,27.37
34.0,27.37
